"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"ANDREJOHNSON","WR","espn","Andre Johnson","TEN",46,181,"29.2",0,0,0,0,0,0,0,0,16.8,212.5,1.4
"KIRKCOUSINS","QB","espn","Kirk Cousins","WAS",16,182,"283.4",601.9,390.5,4551.7,29.6,13.3,37.9,117.2,1.3,0,0,0
"BENROETHLISBERGER","QB","espn","Ben Roethlisberger","PIT",17,183,"281.6",574.3,377.5,4543.5,28.4,12.7,27.8,66.6,0.7,0,0,0
"MATTHEWSTAFFORD","QB","espn","Matthew Stafford","DET",18,184,"280.2",634.9,412.7,4655.3,25.1,13.7,39.6,135.9,1.9,0,0,0
"TREYBURTON","TE","espn","Trey Burton","PHI",54,185,"28.9",0,0,0,0,0,0,0,0,19.1,209,1.5
"MYCHALRIVERA","TE","espn","Mychal Rivera","OAK",55,186,"28.4",0,0,0,0,0,0,0,0,17.8,182,1.8
"ELIMANNING","QB","espn","Eli Manning","NYG",19,187,"271.9",609.7,381.4,4547.3,30.8,15.3,20.8,37.7,0.4,0,0,0
"JOSHMCCOWN","QB","espn","Josh McCown","CLE",20,188,"27.8",71.1,41.4,497.5,2.7,1.7,5.7,24.3,0.2,0,0,0
"ANDREWHAWKINS","WR","espn","Andrew Hawkins","CLE",47,189,"27.2",0,0,0,0,0,1.9,11.8,0,18.7,212,0.8
"PHILIPRIVERS","QB","espn","Philip Rivers","SD",21,190,"267.1",617.2,405.2,4497.5,28.2,15,23,61.2,0.5,0,0,0
"TYRODTAYLOR","QB","espn","Tyrod Taylor","BUF",22,191,"266.3",452.1,274.5,3243.5,21.2,12,112,576.8,4.5,0,0,0
"ANDYDALTON","QB","espn","Andy Dalton","CIN",23,192,"264.2",514.3,324.5,3808.1,25.5,12.9,62.9,232.8,2.7,0,0,0
"CARSONPALMER","QB","espn","Carson Palmer","ARZ",24,193,"262.9",568.8,346.4,4338.5,29.5,16.5,24.6,48.6,1,0,0,0
"WENDELLSMALLWOOD","RB","espn","Wendell Smallwood","PHI",49,194,"26.8",0,0,0,0,0,41.2,166.5,1.3,4.2,31.1,0.1
"JAMESJONES","WR","espn","James Jones","SD",48,195,"26.5",0,0,0,0,0,0,0,0,14.9,199.6,1.3
"ANTHONYFASANO","TE","espn","Anthony Fasano","TEN",56,196,"26.3",0,0,0,0,0,0,0,0,15,165.9,1.7
"NILESPAUL","TE","espn","Niles Paul","WAS",57,197,"26",0,0,0,0,0,0,0,0,15.3,186.7,1.3
"ALEXSMITH","QB","espn","Alex Smith","KC",25,198,"259.5",502.5,326.5,3668.7,19.3,7.5,69.3,398,2.5,0,0,0
"RYANFITZPATRICK","QB","espn","Ryan Fitzpatrick","NYJ",26,199,"258.9",553,338,3880.2,25.7,15.4,56.8,249.2,2,0,0,0
"BLAKEBORTLES","QB","espn","Blake Bortles","JAC",27,200,"258.3",576.6,326.8,3898.9,27.8,15.9,50.5,261,1.3,0,0,0
"JAMEISWINSTON","QB","espn","Jameis Winston","TB",28,201,"255.9",545.8,315.1,3767.4,25,15.3,59.3,258.9,2.6,0,0,0
"DEREKCARR","QB","espn","Derek Carr","OAK",29,202,"253",585.2,349.8,3794.1,31,13.2,30.6,81.8,0.7,0,0,0
"RYANTANNEHILL","QB","espn","Ryan Tannehill","MIA",30,203,"251.4",607.4,375,4260.8,23.7,12.3,34.4,130.8,1,0,0,0
"KENYANDRAKE","RB","espn","Kenyan Drake","MIA",50,204,"25.6",0,0,0,0,0,28.5,112.3,0.6,13.3,96.1,0.4
"MALCOLMMITCHELL","WR","espn","Malcolm Mitchell","NE",49,205,"25.3",0,0,0,0,0,0,0,0,14.3,185.5,1.2
"BROCKOSWEILER","QB","espn","Brock Osweiler","HOU",31,206,"245.4",555.4,343.1,4059.4,24.4,14.8,50.7,123.1,1.5,0,0,0
"ANTONIOBROWN","WR","espn","Antonio Brown","PIT",50,207,"244.8",0,0,0,0,0,3.9,25.1,0.1,132.2,1765.9,10.2
"JOEFLACCO","QB","espn","Joe Flacco","BAL",32,208,"242.7",626.1,375.8,4222.5,25.5,16.2,27.1,46.3,1.2,0,0,0
"MATTRYAN","QB","espn","Matt Ryan","ATL",33,209,"241.7",620.5,410.4,4511.3,22.1,16.4,30.8,95.3,0.8,0,0,0
"KEITHMARSHALL","RB","espn","Keith Marshall","WAS",51,210,"24.3",0,0,0,0,0,37.8,158.3,1,4.4,32.8,0.1
"TOMBRADY","QB","espn","Tom Brady","NE",34,211,"231.4",478.4,303.8,3378,25.3,7,27.4,21.6,1.5,0,0,0
"MARCUSMARIOTA","QB","espn","Marcus Mariota","TEN",35,212,"227.2",469.1,295.9,3414.9,19.2,12.7,70.3,355.3,2.6,0,0,0
"TODDGURLEY","RB","espn","Todd Gurley","LA",52,213,"226.4",0,0,0,0,0,297.8,1323.1,10.5,38.5,309.3,0.9
"TEDDYBRIDGEWATER","QB","espn","Teddy Bridgewater","MIN",36,214,"224.2",484.4,312.5,3480.6,19.1,10.5,46.5,215.3,2.3,0,0,0
"JAYCUTLER","QB","espn","Jay Cutler","CHI",37,215,"223.3",499.3,320.6,3796.1,22,14,38.6,137.7,0.9,0,0,0
"DIONSIMS","TE","espn","Dion Sims","MIA",58,216,"22.4",0,0,0,0,0,0,0,0,15.7,156.3,1.2
"LUKEWILLSON","TE","espn","Luke Willson","SEA",59,217,"22.3",0,0,0,0,0,0,0,0,12,151.4,1.2
"ADRIANPETERSON","RB","espn","Adrian Peterson","MIN",53,218,"219.7",0,0,0,0,0,300.3,1394.6,10,29.4,227.2,0.8
"JULIOJONES","WR","espn","Julio Jones","ATL",51,219,"218",0,0,0,0,0,0,0,0,127,1762.1,7.3
"DAVIDJOHNSON","RB","espn","David Johnson","ARZ",54,220,"216.5",0,0,0,0,0,251.1,1037.8,8.2,58.3,531.1,2.6
"JACKDOYLE","TE","espn","Jack Doyle","IND",60,221,"21.6",0,0,0,0,0,0,0,0,17.1,116.2,1.8
"BRANDENOLIVER","RB","espn","Branden Oliver","SD",55,222,"21.1",0,0,0,0,0,34.6,134.4,0.7,4.6,33.3,0.1
"ROBERTGRIFFIN","QB","espn","Robert Griffin","CLE",38,223,"209.2",429.2,270.1,3216.8,16.7,10.8,64.2,385,1.7,0,0,0
"JAMAALCHARLES","RB","espn","Jamaal Charles","KC",56,224,"207.2",0,0,0,0,0,218.7,1121.6,8.4,46.8,392.3,2.2
"LESEANMCCOY","RB","espn","LeSean McCoy","BUF",57,225,"206.9",0,0,0,0,0,266.8,1173.2,8.6,43.1,319.4,1.6
"ODELLBECKHAM","WR","espn","Odell Beckham Jr.","NYG",52,226,"205.6",0,0,0,0,0,0,0,0,100.7,1508.4,9.4
"LAMARMILLER","RB","espn","Lamar Miller","HOU",58,227,"204.6",0,0,0,0,0,280.5,1235,7.2,43.7,325.3,1.3
"EZEKIELELLIOTT","RB","espn","Ezekiel Elliott","DAL",59,228,"202.3",0,0,0,0,0,256.2,1115.5,8.4,42,357.8,1.5
"KENJONBARNER","RB","espn","Kenjon Barner","PHI",60,229,"20.8",0,0,0,0,0,22.2,95.1,0.8,8.3,62.2,0.2
"EDDICKSON","TE","espn","Ed Dickson","CAR",61,230,"20.6",0,0,0,0,0,0,0,0,13.1,141.7,1.1
"FITZGERALDTOUSSAINT","RB","espn","Fitzgerald Toussaint","PIT",61,231,"20.3",0,0,0,0,0,25.8,105.1,0.7,7.2,53.1,0.2
"DEVONTAFREEMAN","RB","espn","Devonta Freeman","ATL",62,232,"197.6",0,0,0,0,0,232.2,926.1,6.7,69.1,549.2,2.3
"LEVEONBELL","RB","espn","Le'Veon Bell","PIT",63,233,"196.2",0,0,0,0,0,215.4,942.2,6.3,56.4,483.7,2.5
"MARKINGRAM","RB","espn","Mark Ingram","NO",64,234,"195.2",0,0,0,0,0,234.7,977.6,8.5,56.4,392,1.8
"DEANDREHOPKINS","WR","espn","DeAndre Hopkins","HOU",53,235,"193.6",0,0,0,0,0,0,0,0,100.9,1439.5,8.5
"DOUGMARTIN","RB","espn","Doug Martin","TB",65,236,"185",0,0,0,0,0,268.8,1196.8,6.6,31.8,247.1,1
"AJGREEN","WR","espn","A.J. Green","CIN",54,237,"181.6",0,0,0,0,0,0,0,0,87.9,1285.8,9
"ALLENROBINSON","WR","espn","Allen Robinson","JAC",55,238,"180.4",0,0,0,0,0,0,0,0,82.9,1314.3,8.3
"DANNYAMENDOLA","WR","espn","Danny Amendola","NE",56,239,"18.9",0,0,0,0,0,2,12.1,0.1,12.5,124.6,0.8
"BRANDONMARSHALL","WR","espn","Brandon Marshall","NYJ",57,240,"178.2",0,0,0,0,0,0,0,0,96.9,1280.8,8.6
"SAMBRADFORD","QB","espn","Sam Bradford","PHI",39,241,"174.5",448.1,279.9,3099.6,16.7,10.1,23.3,60.5,0.9,0,0,0
"ALSHONJEFFERY","WR","espn","Alshon Jeffery","CHI",58,242,"173.9",0,0,0,0,0,0,0,0,88.7,1281.5,7.8
"CARLOSHYDE","RB","espn","Carlos Hyde","SF",66,243,"172.1",0,0,0,0,0,255.2,1025.4,7.1,33.9,241.9,0.9
"ROBGRONKOWSKI","TE","espn","Rob Gronkowski","NE",62,244,"171",0,0,0,0,0,0,0,0,77.7,1141.1,9.4
"JORDYNELSON","WR","espn","Jordy Nelson","GB",59,245,"170.8",0,0,0,0,0,0,0,0,80.1,1213.6,8.4
"DEZBRYANT","WR","espn","Dez Bryant","DAL",60,246,"170.1",0,0,0,0,0,0,0,0,81,1163.9,9.1
"CJANDERSON","RB","espn","C.J. Anderson","DEN",67,247,"168.8",0,0,0,0,0,233.4,1041.4,7,26,207.9,0.8
"ERICDECKER","WR","espn","Eric Decker","NYJ",61,248,"164.1",0,0,0,0,0,0,0,0,86.5,1145.8,8.3
"SAMMYWATKINS","WR","espn","Sammy Watkins","BUF",62,249,"163.6",0,0,0,0,0,2.3,14.2,0.1,73.2,1165.1,7.6
"MIKEEVANS","WR","espn","Mike Evans","TB",63,250,"163.3",0,0,0,0,0,0,0,0,77.5,1166.3,7.9
"DEMARCOMURRAY","RB","espn","DeMarco Murray","TEN",68,251,"163.1",0,0,0,0,0,224.9,982.1,7.4,25.3,192.9,0.6
"EDDIELACY","RB","espn","Eddie Lacy","GB",69,252,"162.9",0,0,0,0,0,232.5,999.2,6.2,29.1,234.8,1.3
"TYHILTON","WR","espn","T.Y. Hilton","IND",64,253,"160.1",0,0,0,0,0,1.8,11.5,0,74.6,1184.7,6.9
"FOZZYWHITTAKER","RB","espn","Fozzy Whittaker","CAR",70,254,"16.9",0,0,0,0,0,18.9,77.1,0.5,7.5,55.7,0.3
"MARCELREECE","RB","espn","Marcel Reece","OAK",71,255,"16.8",0,0,0,0,0,8.4,27.5,0.3,11.8,85.1,0.8
"LANDRYJONES","QB","espn","Landry Jones","PIT",40,256,"16.4",39.8,22.5,249,1.7,1.2,5.7,23.1,0.2,0,0,0
"TONYROMO","QB","espn","Tony Romo","DAL",41,257,"159.7",322.1,215.7,2566,17.1,7.3,16,34.5,0.4,0,0,0
"LATAVIUSMURRAY","RB","espn","Latavius Murray","OAK",72,258,"159.6",0,0,0,0,0,229.6,973.4,5.5,33.4,237.9,1.6
"KEENANALLEN","WR","espn","Keenan Allen","SD",65,259,"158.1",0,0,0,0,0,0,0,0,106,1200.3,6.3
"JONATHANSTEWART","RB","espn","Jonathan Stewart","CAR",73,260,"156.4",0,0,0,0,0,236.7,1021.7,6.6,20.1,149,0.6
"FRANKGORE","RB","espn","Frank Gore","IND",74,261,"155.9",0,0,0,0,0,222.2,900.2,5.5,32.6,277,1.4
"JEREMYLANGFORD","RB","espn","Jeremy Langford","CHI",75,262,"155.4",0,0,0,0,0,212,855,6.2,34.4,306.9,1.1
"THOMASRAWLS","RB","espn","Thomas Rawls","SEA",76,263,"153.3",0,0,0,0,0,218.3,1015.6,5.6,17.9,144,1
"BLAINEGABBERT","QB","espn","Blaine Gabbert","SF",42,264,"152.6",410.4,246.9,2797.8,13.7,13,40.2,139.2,1,0,0,0
"BRANDINCOOKS","WR","espn","Brandin Cooks","NO",66,265,"151.4",0,0,0,0,0,7.8,48.4,0.3,88.4,1067.9,6.6
"AMARICOOPER","WR","espn","Amari Cooper","OAK",67,266,"151.4",0,0,0,0,0,3.7,23.6,0.1,81.3,1069.5,7.1
"MATTFORTE","RB","espn","Matt Forte","NYJ",77,267,"150.7",0,0,0,0,0,187.5,770.1,4.3,48,402.5,1.5
"DEVINSMITH","WR","espn","Devin Smith","NYJ",68,268,"15.7",0,0,0,0,0,0,0,0,8.9,118.2,0.8
"GENOSMITH","QB","espn","Geno Smith","NYJ",43,269,"15.6",37.7,22,249,1.7,1.3,6.6,26.2,0.2,0,0,0
"CHASEDANIEL","QB","espn","Chase Daniel","PHI",44,270,"15.5",37.2,22.8,248.4,1.6,0.8,3.5,14.2,0.1,0,0,0
"BRUCEMILLER","TE","espn","Bruce Miller","SF",63,271,"15.4",0,0,0,0,0,0,0,0,10.9,119.4,0.8
"JEREMYMACLIN","WR","espn","Jeremy Maclin","KC",69,272,"149.3",0,0,0,0,0,3.8,24,0.2,86.6,1160.9,5.2
"JEREMYHILL","RB","espn","Jeremy Hill","CIN",78,273,"149.1",0,0,0,0,0,222.3,910.5,7.3,19,141.4,0.8
"STEPHENGOSTKOWSKI","K","espn","Stephen Gostkowski","NE",2,274,"146.9",0,0,0,0,0,0,0,0,0,0,0
"JARVISLANDRY","WR","espn","Jarvis Landry","MIA",70,275,"146.7",0,0,0,0,0,14.2,59.5,0.4,105.9,1051.2,5.6
"DEMARYIUSTHOMAS","WR","espn","Demaryius Thomas","DEN",71,276,"145.6",0,0,0,0,0,0,0,0,84.4,1085.7,6.4
"RYANMATHEWS","RB","espn","Ryan Mathews","PHI",79,277,"145.4",0,0,0,0,0,204.6,927.2,6.1,25.3,186.4,0.5
"RANDALLCOBB","WR","espn","Randall Cobb","GB",72,278,"145.4",0,0,0,0,0,16.1,73.7,0.4,78.8,940.1,6.9
"ADAMVINATIERI","K","espn","Adam Vinatieri","IND",3,279,"145.3",0,0,0,0,0,0,0,0,0,0,0
"JULIANEDELMAN","WR","espn","Julian Edelman","NE",73,280,"144.1",0,0,0,0,0,7.8,48.5,0.2,91.6,982,6.9
"RASHADJENNINGS","RB","espn","Rashad Jennings","NYG",80,281,"143.2",0,0,0,0,0,194.8,853,4.8,32,255.1,1
"STEVENHAUSCHKA","K","espn","Steven Hauschka","SEA",4,282,"143.1",0,0,0,0,0,0,0,0,0,0,0
"JORDANREED","TE","espn","Jordan Reed","WAS",64,283,"142.3",0,0,0,0,0,0,0,0,90.4,936.5,8.5
"DONTEMONCRIEF","WR","espn","Donte Moncrief","IND",74,284,"142.2",0,0,0,0,0,0,0,0,77.2,962.9,7.8
"DOUGBALDWIN","WR","espn","Doug Baldwin","SEA",75,285,"142",0,0,0,0,0,0,0,0,75.3,998.8,7.2
"DENVERBRONCOS","DST","espn","Denver Broncos","DEN",19,286,"141.6",0,0,0,0,0,0,0,0,0,0,0
"BRANDONPETTIGREW","TE","espn","Brandon Pettigrew","DET",65,287,"14.8",0,0,0,0,0,0,0,0,9.1,101.7,0.8
"RASHARDHIGGINS","WR","espn","Rashard Higgins","CLE",76,288,"14.7",0,0,0,0,0,0,0,0,9.1,115.1,0.6
"BRIANHOYER","QB","espn","Brian Hoyer","CHI",45,289,"14.4",38.3,22,284.3,1.5,1.2,0.6,2.5,0,0,0,0
"MICHAELHOOMANAWANUI","TE","espn","Michael Hoomanawanui","NO",66,290,"14.2",0,0,0,0,0,0,0,0,8.9,95.6,0.9
"AMEERABDULLAH","RB","espn","Ameer Abdullah","DET",81,291,"139.2",0,0,0,0,0,187.1,800.2,4.7,37.2,294,1.2
"GOLDENTATE","WR","espn","Golden Tate","DET",77,292,"139.2",0,0,0,0,0,7.1,45.2,0.2,87.7,1030.4,5.1
"MATTJONES","RB","espn","Matt Jones","WAS",82,293,"137.3",0,0,0,0,0,222.8,888.7,5.1,21.8,213.6,0.9
"LARRYFITZGERALD","WR","espn","Larry Fitzgerald","ARZ",78,294,"137.2",0,0,0,0,0,0,0,0,84.5,968.3,7
"DANNYWOODHEAD","RB","espn","Danny Woodhead","SD",83,295,"136.9",0,0,0,0,0,100,402.4,2.2,69.4,610.6,3.7
"MARVINJONES","WR","espn","Marvin Jones","DET",79,296,"136.9",0,0,0,0,0,0,0,0,72.3,1033.4,5.7
"MICHAELFLOYD","WR","espn","Michael Floyd","ARZ",80,297,"136.6",0,0,0,0,0,0,0,0,61,960.4,6.8
"JOSHBROWN","K","espn","Josh Brown","NYG",5,298,"136.4",0,0,0,0,0,0,0,0,0,0,0
"JORDANMATTHEWS","WR","espn","Jordan Matthews","PHI",81,299,"136.2",0,0,0,0,0,0,0,0,84.4,1016.6,6
"BLAIRWALSH","K","espn","Blair Walsh","MIN",6,300,"136.2",0,0,0,0,0,0,0,0,0,0,0
"GIOVANIBERNARD","RB","espn","Giovani Bernard","CIN",84,301,"135.8",0,0,0,0,0,152.6,654.9,4,49.5,408.8,1.3
"JOHNBROWN","WR","espn","John Brown","ARZ",82,302,"135.8",0,0,0,0,0,4.2,25.9,0.1,64.9,978.9,6
"ROBERTOAGUAYO","K","espn","Roberto Aguayo","TB",7,303,"135.7",0,0,0,0,0,0,0,0,0,0,0
"DANBAILEY","K","espn","Dan Bailey","DAL",8,304,"134.7",0,0,0,0,0,0,0,0,0,0,0
"GREGOLSEN","TE","espn","Greg Olsen","CAR",67,305,"134.3",0,0,0,0,0,0,0,0,75.7,962.4,6.4
"MELVINGORDON","RB","espn","Melvin Gordon","SD",85,306,"134.1",0,0,0,0,0,238.6,914.1,3.9,33.1,218.5,1.1
"JUSTINTUCKER","K","espn","Justin Tucker","BAL",9,307,"132.6",0,0,0,0,0,0,0,0,0,0,0
"MASONCROSBY","K","espn","Mason Crosby","GB",10,308,"132.6",0,0,0,0,0,0,0,0,0,0,0
"EMMANUELSANDERS","WR","espn","Emmanuel Sanders","DEN",83,309,"132.5",0,0,0,0,0,4.2,26.9,0.1,75.3,1038.3,4.3
"CHRISBOSWELL","K","espn","Chris Boswell","PIT",11,310,"132.5",0,0,0,0,0,0,0,0,0,0,0
"STEVANRIDLEY","RB","espn","Stevan Ridley","IND",86,311,"13.6",0,0,0,0,0,17.7,73.6,0.5,4.6,35.4,0.1
"MIKEDAVIS","RB","espn","Mike Davis","SF",87,312,"13.3",0,0,0,0,0,19.8,76.3,0.5,4.2,30.9,0.1
"CODYKESSLER","QB","espn","Cody Kessler","CLE",46,313,"13",37.8,21.2,262.1,1.3,1.2,2.3,9.3,0.1,0,0,0
"DWAYNEWASHINGTON","RB","espn","Dwayne Washington","DET",88,314,"13",0,0,0,0,0,17.7,68.9,0.6,4.6,35.3,0.1
"DESEANJACKSON","WR","espn","DeSean Jackson","WAS",84,315,"129.1",0,0,0,0,0,0,0,0,57.2,1016.1,4.6
"KELVINBENJAMIN","WR","espn","Kelvin Benjamin","CAR",85,316,"128.7",0,0,0,0,0,0,0,0,61.5,826.5,7.8
"ARIANFOSTER","RB","espn","Arian Foster","MIA",89,317,"128.6",0,0,0,0,0,156.7,666.2,4.7,35.6,291.3,1.5
"GRAHAMGANO","K","espn","Graham Gano","CAR",12,318,"127.3",0,0,0,0,0,0,0,0,0,0,0
"CHANDLERCATANZARO","K","espn","Chandler Catanzaro","ARZ",13,319,"125.6",0,0,0,0,0,0,0,0,0,0,0
"MATTPRATER","K","espn","Matt Prater","DET",14,320,"125.5",0,0,0,0,0,0,0,0,0,0,0
"TYLERLOCKETT","WR","espn","Tyler Lockett","SEA",86,321,"125.3",0,0,0,0,0,4.5,28.3,0.1,54.7,823.8,5.9
"MICHAELCRABTREE","WR","espn","Michael Crabtree","OAK",87,322,"124.5",0,0,0,0,0,0,0,0,72.5,821.9,7.1
"TORREYSMITH","WR","espn","Torrey Smith","SF",88,323,"123.8",0,0,0,0,0,0,0,0,56.8,970.4,4.4
"ROBBIEGOULD","K","espn","Robbie Gould","CHI",15,324,"123.3",0,0,0,0,0,0,0,0,0,0,0
"CAROLINAPANTHERS","DST","espn","Carolina Panthers","CAR",20,325,"122.9",0,0,0,0,0,0,0,0,0,0,0
"NICKNOVAK","K","espn","Nick Novak","HOU",16,326,"122.2",0,0,0,0,0,0,0,0,0,0,0
"LEGARRETTEBLOUNT","RB","espn","LeGarrette Blount","NE",90,327,"122",0,0,0,0,0,194.8,835.5,6.1,4.5,33.3,0.2
"MATTBRYANT","K","espn","Matt Bryant","ATL",17,328,"122",0,0,0,0,0,0,0,0,0,0,0
"DERRICKHENRY","RB","espn","Derrick Henry","TEN",91,329,"121.6",0,0,0,0,0,157.4,670.1,6.6,17.1,141.1,0.6
"GREENBAYPACKERS","DST","espn","Green Bay Packers","GB",21,330,"121.6",0,0,0,0,0,0,0,0,0,0,0
"CINCINNATIBENGALS","DST","espn","Cincinnati Bengals","CIN",22,331,"121.5",0,0,0,0,0,0,0,0,0,0,0
"JAREDGOFF","QB","espn","Jared Goff","LA",47,332,"121",374.9,220.4,2486.1,10.4,11,10.3,40.7,0.4,0,0,0
"JASONMYERS","K","espn","Jason Myers","JAC",18,333,"120.9",0,0,0,0,0,0,0,0,0,0,0
"CAIROSANTOS","K","espn","Cairo Santos","KC",19,334,"120.8",0,0,0,0,0,0,0,0,0,0,0
"DELANIEWALKER","TE","espn","Delanie Walker","TEN",68,335,"120.7",0,0,0,0,0,0,0,0,70.2,865.2,5.8
"DUSTINHOPKINS","K","espn","Dustin Hopkins","WAS",20,336,"120.5",0,0,0,0,0,0,0,0,0,0,0
"ARIZONACARDINALS","DST","espn","Arizona Cardinals","ARZ",23,337,"120.5",0,0,0,0,0,0,0,0,0,0,0
"TREVORSIEMIAN","QB","espn","Trevor Siemian","DEN",48,338,"120.4",346.8,194.8,2196.6,12.3,14.2,24.8,101.5,1,0,0,0
"COBYFLEENER","TE","espn","Coby Fleener","NO",69,339,"120.3",0,0,0,0,0,0,0,0,69.9,804.5,6.7
"DUKEJOHNSON","RB","espn","Duke Johnson Jr.","CLE",92,340,"120.1",0,0,0,0,0,135,547.5,3.3,50.5,398.6,1.4
"VERNONDAVIS","TE","espn","Vernon Davis","WAS",70,341,"12.5",0,0,0,0,0,0,0,0,7.7,84.7,0.8
"JAREDABBREDERIS","WR","espn","Jared Abbrederis","GB",89,342,"12.2",0,0,0,0,0,0,0,0,6.4,84,0.7
"TJYELDON","RB","espn","T.J. Yeldon","JAC",93,343,"119.2",0,0,0,0,0,155,645.7,3.7,35.7,274.8,1.4
"DANCARPENTER","K","espn","Dan Carpenter","BUF",21,344,"118.8",0,0,0,0,0,0,0,0,0,0,0
"KEVINWHITE","WR","espn","Kevin White","CHI",90,345,"118.4",0,0,0,0,0,0,0,0,61.1,888.6,5.1
"MIKENUGENT","K","espn","Mike Nugent","CIN",22,346,"118",0,0,0,0,0,0,0,0,0,0,0
"JOSHLAMBO","K","espn","Josh Lambo","SD",23,347,"117.9",0,0,0,0,0,0,0,0,0,0,0
"CHRISIVORY","RB","espn","Chris Ivory","JAC",94,348,"117.5",0,0,0,0,0,163.7,718.5,5,20.3,142.6,0.7
"NICKFOLK","K","espn","Nick Folk","NYJ",24,349,"117.4",0,0,0,0,0,0,0,0,0,0,0
"SEBASTIANJANIKOWSKI","K","espn","Sebastian Janikowski","OAK",25,350,"117.2",0,0,0,0,0,0,0,0,0,0,0
"BRANDONMCMANUS","K","espn","Brandon McManus","DEN",26,351,"117.1",0,0,0,0,0,0,0,0,0,0,0
"ZACHERTZ","TE","espn","Zach Ertz","PHI",71,352,"117",0,0,0,0,0,0,0,0,72.3,850,5.4
"NEWYORKJETS","DST","espn","New York Jets","NYJ",24,353,"116.8",0,0,0,0,0,0,0,0,0,0,0
"TRAVISKELCE","TE","espn","Travis Kelce","KC",72,354,"116.1",0,0,0,0,0,0,0,0,80.9,881.6,5
"CODYPARKEY","K","espn","Cody Parkey","PHI",27,355,"116.1",0,0,0,0,0,0,0,0,0,0,0
"SEATTLESEAHAWKS","DST","espn","Seattle Seahawks","SEA",25,356,"116.1",0,0,0,0,0,0,0,0,0,0,0
